id,key,value,type
28051157,sidewalk,both,regular
28051161,name,Calle Benito Pérez Galdós,regular
28051161,highway,residential,regular
28051161,sidewalk,both,regular
28051183,name,Camino Carrasquilla,regular
28051183,lanes,1,regular
28051183,oneway,yes,regular
28051183,highway,residential,regular
28051183,sidewalk,both,regular
28051190,name,Calle Hermanos Grimm,regular
28051190,lanes,1,regular
28051190,oneway,yes,regular
28051190,highway,residential,regular
28051190,sidewalk,both,regular
28051200,name,Avenida de Portugal,regular
28051200,oneway,yes,regular
28051200,highway,residential,regular
28051200,sidewalk,both,regular
28051213,name,Plaza Héroes de la Libertad,regular
28051213,highway,tertiary,regular
28051213,junction,roundabout,regular
28051213,sidewalk,right,regular
28051219,name,Avenida Olímpica,regular
28051219,highway,residential,regular
28051225,bicycle,yes,regular
28051225,highway,footway,regular
28051228,foot,yes,regular
28051228,highway,footway,regular
28051229,name,Calle Benito Pérez Galdós,regular
28051229,highway,residential,regular
28051229,sidewalk,both,regular
28051231,bicycle,yes,regular
28051231,highway,footway,regular
28051233,name,Calle Alonso Cano,regular
28051233,oneway,yes,regular
28051233,highway,residential,regular
28051236,name,Calle Magallanes,regular
28051236,lanes,1,regular
28051236,oneway,yes,regular
28051236,highway,residential,regular
28051252,name,Calle Rubens,regular
28051252,lanes,2,regular
28051252,highway,residential,regular
28051277,name,Calle del Pintor Murillo,regular
28051277,lanes,2,regular
28051277,highway,residential,regular
28051290,name,Forlady,regular
28051290,source,http://www.forlady.es/start.do,regular
28051290,landuse,industrial,regular
28051295,amenity,parking,regular
28051297,highway,service,regular
28051298,highway,residential,regular
28051302,name,Calle del Camino del Obispo,regular
28051302,lanes,1,regular
28051302,oneway,yes,regular
28051302,highway,residential,regular
28051302,destination,E-90 A-1 Madrid,regular
28051311,lanes,2,regular
28051311,oneway,yes,regular
28051311,highway,residential,regular
28051311,destination,Carrefour,regular
28051339,lanes,1,regular
28051339,oneway,yes,regular
28051339,highway,unclassified,regular
28051343,highway,service,regular
28051343,service,parking_aisle,regular
28051351,highway,service,regular
28051351,service,parking_aisle,regular
28051354,amenity,parking,regular
28051361,oneway,yes,regular
28051361,highway,motorway_link,regular
28051363,lanes,1,regular
28051363,oneway,yes,regular
28051363,highway,motorway_link,regular
28051363,maxspeed,60,regular
28051363,destination,Móstoles; Villaviciosa de Odón,regular
28051367,lanes,3,regular
28051367,highway,tertiary,regular
28051367,junction,roundabout,regular
28051369,lanes,2,regular
28051369,oneway,yes,regular
28051369,highway,tertiary,regular
28051372,foot,yes,regular
28051372,bicycle,yes,regular
28051372,highway,footway,regular
28051379,foot,yes,regular
28051379,bicycle,yes,regular
28051379,highway,footway,regular
28051383,lanes,2,regular
28051383,layer,1,regular
28051383,bridge,yes,regular
28051383,oneway,yes,regular
28051383,highway,tertiary,regular
28051386,name,Calle Maestro,regular
28051386,oneway,yes,regular
28051386,highway,residential,regular
28051386,sidewalk,both,regular
28051386,destination,polideportivo A. Torrejón; centro sociocultural,regular
28051394,name,Calle Almería,regular
28051394,highway,residential,regular
28051394,sidewalk,both,regular
28051396,name,Calle Educación,regular
28051396,oneway,yes,regular
28051396,highway,residential,regular
28051396,sidewalk,both,regular
28051399,name,Calle Pintor Velázquez,regular
28051399,oneway,yes,regular
28051399,highway,residential,regular
28051408,name,Calle Ciclista David Gea,regular
28051408,highway,track,regular
28051408,surface,gravel,regular
28051408,tracktype,grade2,regular
28051411,oneway,yes,regular
28051411,highway,residential,regular
28051422,foot,yes,regular
28051422,name,Avenida de Iker Casillas,regular
28051422,oneway,no,regular
28051422,bicycle,yes,regular
28051422,highway,residential,regular
28051422,surface,asphalt,regular
28051422,cycleway,track,regular
28051422,old_name,Avenida de los Deportes,regular
28051422,sidewalk,both,regular
28051422,forward,1,lanes
28051422,backward,1,lanes
28051440,name,"Polideportivo Municipal ""Andrés Torrejón""",regular
28051440,barrier,fence,regular
28051440,leisure,sports_centre,regular
28051440,fence_type,metal,regular
28051445,name,Calle de Río de Janeiro,regular
28051445,oneway,yes,regular
28051445,highway,residential,regular
28051454,name,Calle Nueva York,regular
28051454,lanes,2,regular
28051454,oneway,no,regular
28051454,highway,residential,regular
28051454,surface,asphalt,regular
28051454,maxspeed,40,regular
28051456,ref,M-506,regular
28051456,lanes,2,regular
28051456,oneway,yes,regular
28051456,highway,trunk,regular
28051456,motorroad,yes,regular
28051462,name,Calle de Regordoño,regular
28051462,highway,residential,regular
28051463,name,Calle de Torres Quevedo,regular
28051463,lanes,2,regular
28051463,oneway,yes,regular
28051463,highway,residential,regular
28051475,oneway,yes,regular
28051475,highway,trunk_link,regular
28051483,oneway,yes,regular
28051483,highway,trunk_link,regular
28051483,surface,asphalt,regular
28051483,maxspeed,60,regular
28051485,oneway,yes,regular
28051485,highway,trunk_link,regular
28051487,lanes,1,regular
28051487,oneway,yes,regular
28051487,highway,trunk_link,regular
28051487,maxspeed,70,regular
28051490,name,Avenida de la O.N.U.,regular
28051490,highway,tertiary,regular
28051490,maxspeed,40,regular
28051491,ref,M-506,regular
28051491,lanes,2,regular
28051491,layer,1,regular
28051491,bridge,yes,regular
28051491,oneway,yes,regular
28051491,highway,trunk,regular
28051491,motorroad,yes,regular
28051495,ref,M-506,regular
28051495,lanes,2,regular
28051495,layer,1,regular
28051495,bridge,yes,regular
28051495,oneway,yes,regular
28051495,highway,trunk,regular
28051495,motorroad,yes,regular
28051500,ref,M-506,regular
28051500,lanes,1,regular
28051500,oneway,yes,regular
28051500,highway,trunk_link,regular
28051500,maxspeed,50,regular
28051504,lanes,1,regular
28051504,oneway,yes,regular
28051504,highway,trunk_link,regular
28051504,destination,M-50 todas direcciones;M-506 Fuenlabrada,regular
28051506,lanes,1,regular
28051506,oneway,yes,regular
28051506,highway,trunk_link,regular
28051506,destination,M-50 todas direcciones;M-506 Fuenlabrada,regular
28051513,lanes,2,regular
28051513,oneway,yes,regular
28051513,highway,trunk_link,regular
28051513,maxspeed,40,regular
28051522,lanes,1,regular
28051522,oneway,yes,regular
28051522,highway,trunk_link,regular
28051522,maxspeed,40,regular
28051522,destination,M-506 Villaviciosa;A-5 Madrid Talavera;centro comercial,regular
28051523,name,Avenida de la O.N.U.,regular
28051523,oneway,no,regular
28051523,highway,tertiary,regular
28051523,maxspeed,40,regular
28051523,forward,1,lanes
28051523,backward,1,lanes
28051523,forward,polígono Regordoño,destination
28051524,name,Avenida Alcalde de Móstoles,regular
28051524,lanes,3,regular
28051524,oneway,yes,regular
28051524,highway,primary,regular
28051524,surface,asphalt,regular
28051524,maxspeed,40,regular
28051524,lanes,left|left;right|right,turn
28051546,name,Calle Badajoz,regular
28051546,oneway,yes,regular
28051546,highway,residential,regular
28051548,name,Calle Baleares,regular
28051548,lanes,1,regular
28051548,oneway,yes,regular
28051548,highway,residential,regular
28051556,name,Avenida de Alcorcón,regular
28051556,highway,residential,regular
28051556,maxspeed,40,regular
28051581,name,Calle de Estambul,regular
28051581,lanes,2,regular
28051581,highway,residential,regular
28051581,surface,asphalt,regular
28051581,maxspeed,40,regular
28051672,highway,service,regular
28051672,tracktype,grade2,regular
28052353,oneway,yes,regular
28052353,highway,motorway_link,regular
28052353,destination,M-50,regular
28052363,oneway,yes,regular
28052363,highway,service,regular
28052363,service,driveway,regular
28107616,oneway,yes,regular
28107616,source,bing,regular
28107616,highway,service,regular
28107616,surface,asphalt,regular
28107616,maxspeed,50,regular
28107617,oneway,yes,regular
28107617,source,bing,regular
28107617,highway,service,regular
28107617,maxspeed,50,regular
28107620,name,Avenida de la Vía Láctea,regular
28107620,lanes,2,regular
28107620,oneway,yes,regular
28107620,highway,tertiary,regular
28107639,landuse,industrial,regular
28107659,landuse,industrial,regular
28107664,name,Calle de la Reguera,regular
28107664,highway,tertiary,regular
28107665,name,Calle de Juan de la Cierva,regular
28107665,oneway,yes,regular
28107665,highway,residential,regular
28107674,name,Calle de Esteban Terradas,regular
28107674,highway,residential,regular
28107732,highway,service,regular
28107732,service,driveway,regular
28107733,name,Calle Urano,regular
28107733,highway,residential,regular
28107745,name,Calle Parque Vosa,regular
28107745,oneway,yes,regular
28107745,highway,residential,regular
28107750,name,Calle Juan de Juanes,regular
28107750,lanes,1,regular
28107750,oneway,yes,regular
28107750,highway,residential,regular
28107752,name,Calle Benjamín Palencia,regular
28107752,oneway,yes,regular
28107752,highway,residential,regular
28107753,name,Calle Julio Romero,regular
28107753,lanes,2,regular
28107753,oneway,no,regular
28107753,highway,residential,regular
28107753,sidewalk,both,regular
28107758,name,Calle Pintor El Greco,regular
28107758,lanes,2,regular
28107758,highway,residential,regular
28107758,sidewalk,both,regular
28107763,name,Calle Cerro Prieto,regular
28107763,oneway,no,regular
28107763,highway,residential,regular
28107763,forward,1,lanes
28107763,backward,1,lanes
28107764,name,Calle Juan Ramón Jiménez,regular
28107764,lanes,2,regular
28107764,highway,residential,regular
28107764,surface,asphalt,regular
28107766,name,Calle Bécquer,regular
28107766,lanes,2,regular
28107766,highway,residential,regular
28107766,surface,asphalt,regular
