id,user,uid,version,changeset,timestamp
28685463,Antonio Garzón,648006,9,30732459,2015-05-02T21:00:54Z
28685466,rubensd,472193,8,46055525,2017-02-13T18:03:06Z
28685467,mor,220932,5,30465643,2015-04-25T02:13:28Z
28685478,Antonio Garzón,648006,4,16369387,2013-05-31T19:06:58Z
28685486,Antonio Garzón,648006,8,49866875,2017-06-27T16:28:01Z
28685490,Antonio Garzón,648006,6,49860209,2017-06-27T12:06:58Z
28685496,Antonio Garzón,648006,4,49860209,2017-06-27T12:06:58Z
28685518,Antonio Garzón,648006,3,49860209,2017-06-27T12:06:59Z
28685526,c_gonzalez,708476,6,12050485,2012-06-28T20:09:20Z
28685555,Raul Gonzalez,1947048,10,20851818,2014-03-01T19:12:00Z
28685563,Antonio Garzón,648006,8,49858198,2017-06-27T10:32:49Z
28685593,Antonio Garzón,648006,5,20736847,2014-02-23T18:04:52Z
28685601,Luiyo,316694,13,39360369,2016-05-16T18:58:00Z
28685607,Antonio Garzón,648006,4,49866875,2017-06-27T16:28:02Z
28685612,mor,220932,5,41311387,2016-08-07T22:05:23Z
28685620,mor,220932,17,41311387,2016-08-07T22:05:27Z
28685665,Luiyo,316694,6,38672718,2016-04-18T17:08:17Z
28685670,Luiyo,316694,5,38672718,2016-04-18T17:08:17Z
28685673,Raul Gonzalez,1947048,4,22392233,2014-05-17T16:51:22Z
28685677,rubensd,472193,5,46055458,2017-02-13T18:01:02Z
28685704,Antonio Garzón,648006,4,49858198,2017-06-27T10:32:49Z
28685716,Antonio Garzón,648006,6,42784103,2016-10-10T18:37:58Z
28685719,Andr3ws,4871744,4,43854598,2016-11-21T19:01:30Z
28685732,jespa,915419,8,48601604,2017-05-11T18:53:25Z
28685742,Antonio Garzón,648006,7,20736494,2014-02-23T17:50:08Z
28685744,Antonio Garzón,648006,7,20736494,2014-02-23T17:50:05Z
28685776,Antonio Garzón,648006,9,49859045,2017-06-27T11:11:06Z
28685778,Antonio Garzón,648006,5,49859045,2017-06-27T11:11:07Z
28685780,Antonio Garzón,648006,7,49859045,2017-06-27T11:11:07Z
28685786,Antonio Garzón,648006,7,49859045,2017-06-27T11:11:07Z
28685794,Raul Gonzalez,1947048,16,21452964,2014-04-02T08:33:53Z
28685795,Raul Gonzalez,1947048,10,21583688,2014-04-09T07:13:41Z
28685803,Antonio Garzón,648006,7,21961870,2014-04-26T19:17:53Z
28685831,c_gonzalez,708476,5,33423877,2015-08-18T19:19:28Z
28685833,Antonio Garzón,648006,9,49859045,2017-06-27T11:11:07Z
28685834,c_gonzalez,708476,4,33423877,2015-08-18T19:19:28Z
28685851,c_gonzalez,708476,9,12066145,2012-06-30T14:05:03Z
28685981,Kostik,384084,4,30685653,2015-05-01T09:31:52Z
28685985,adotutu,586961,8,10843548,2012-03-02T00:04:54Z
28685989,Raul Gonzalez,1947048,7,22408382,2014-05-18T15:10:28Z
28685991,Metalian2001,2021530,7,24179436,2014-07-16T11:25:58Z
28686039,Antonio Garzón,648006,5,49843909,2017-06-26T19:01:22Z
28686065,Antonio Garzón,648006,4,49843909,2017-06-26T19:01:23Z
28686066,Antonio Garzón,648006,4,49858198,2017-06-27T10:32:50Z
28686067,Antonio Garzón,648006,3,49858198,2017-06-27T10:32:50Z
28686080,c_gonzalez,708476,2,12048558,2012-06-28T16:27:38Z
28686115,Raul Gonzalez,1947048,6,22800304,2014-06-07T21:45:47Z
28686118,c_gonzalez,708476,4,12104556,2012-07-03T20:50:52Z
28686132,jespa,915419,4,20892332,2014-03-03T17:07:14Z
28691086,Raul Gonzalez,1947048,10,22408544,2014-05-18T15:21:15Z
28691126,Raul Gonzalez,1947048,8,28230381,2015-01-18T13:18:32Z
28691147,mor,220932,3,30642945,2015-04-30T00:59:21Z
28691151,mor,220932,5,30642945,2015-04-30T00:59:21Z
28691154,Raul Gonzalez,1947048,9,29459432,2015-03-13T21:19:00Z
28691174,Antonio Eugenio Burriel,24070,6,9093606,2011-08-22T14:22:11Z
28691187,Raul Gonzalez,1947048,9,22500643,2014-05-23T08:35:59Z
28691202,Raul Gonzalez,1947048,6,35431199,2015-11-19T10:39:23Z
28691219,Antonio Garzón,648006,6,25056726,2014-08-27T17:17:08Z
28691227,Raul Gonzalez,1947048,11,35431179,2015-11-19T10:38:12Z
28691243,robertogeb,491515,3,11841162,2012-06-09T03:52:04Z
28691263,Polyglot,15188,18,50750910,2017-08-01T11:54:45Z
28691283,casiub,2252292,15,51475681,2017-08-27T08:31:38Z
28691284,Raul Gonzalez,1947048,9,21504039,2014-04-04T21:25:39Z
28691288,Raul Gonzalez,1947048,10,35459833,2015-11-20T12:06:49Z
28691290,Raul Gonzalez,1947048,8,21504039,2014-04-04T21:25:39Z
28691291,c_gonzalez,708476,13,33443365,2015-08-19T16:07:06Z
28691331,Luiyo,316694,6,37981326,2016-03-21T17:29:38Z
28691348,Luiyo,316694,6,37981326,2016-03-21T17:29:36Z
28698721,yabanci,193123,5,14093680,2012-11-30T00:15:12Z
28906419,jpereza,587812,8,16784039,2013-07-01T21:38:17Z
29355521,Serfuen,777223,5,19808040,2014-01-04T16:47:45Z
29355559,Antonio Garzón,648006,7,30732459,2015-05-02T21:00:54Z
29355629,jespa,915419,7,20892332,2014-03-03T17:07:18Z
29355631,Antonio Garzón,648006,7,38513511,2016-04-12T23:53:39Z
29356056,c_gonzalez,708476,12,12048558,2012-06-28T16:27:39Z
29356121,Antonio Garzón,648006,11,48058614,2017-04-23T12:17:28Z
29356184,Antonio Garzón,648006,5,47967394,2017-04-20T10:43:22Z
29356641,Raul Gonzalez,1947048,6,22656975,2014-05-31T14:36:46Z
29376872,mor,220932,17,43681422,2016-11-15T21:19:33Z
29377408,guannais,87759,11,51682262,2017-09-02T23:36:18Z
29377465,guannais,87759,14,51682262,2017-09-02T23:36:19Z
29377602,guannais,87759,18,51682262,2017-09-02T23:36:20Z
29377690,guannais,87759,17,51682262,2017-09-02T23:36:21Z
29377699,guannais,87759,14,51682262,2017-09-02T23:36:21Z
29378451,RichRico,2219338,10,40690156,2016-07-12T16:11:48Z
29378494,Serfuen,777223,10,19808040,2014-01-04T16:47:33Z
29378586,guannais,87759,7,51682262,2017-09-02T23:36:22Z
29378587,guannais,87759,7,51682262,2017-09-02T23:36:22Z
29378609,Luiyo,316694,9,37981326,2016-03-21T17:29:34Z
29379097,guannais,87759,4,672992,2008-12-30T16:02:14Z
29379885,guannais,87759,3,672992,2008-12-30T16:37:15Z
29382070,guannais,87759,21,51682262,2017-09-02T23:36:23Z
29382140,Luiyo,316694,20,37981326,2016-03-21T17:29:28Z
29382141,guannais,87759,10,51682262,2017-09-02T23:36:23Z
29385409,Luiyo,316694,15,37981326,2016-03-21T17:29:26Z
29385725,Luiyo,316694,15,37981326,2016-03-21T17:29:26Z
29386695,guannais,87759,7,51682262,2017-09-02T23:36:24Z
29386718,guannais,87759,4,51682262,2017-09-02T23:36:24Z
29387086,robertogeb,491515,6,11856898,2012-06-10T17:21:05Z
29390552,Serfuen,777223,30,19808040,2014-01-04T16:47:31Z
29391458,Raul Gonzalez,1947048,11,21568495,2014-04-08T10:12:59Z
29408860,Serfuen,777223,9,19808040,2014-01-04T16:47:32Z
29409089,Raul Gonzalez,1947048,10,35459833,2015-11-20T12:06:49Z
29409095,polkillas,42055,17,21212303,2014-03-20T16:22:23Z
29409103,Raul Gonzalez,1947048,9,35459833,2015-11-20T12:06:49Z
29409107,Raul Gonzalez,1947048,10,35459833,2015-11-20T12:06:50Z
29410314,jpereza,587812,4,13891300,2012-11-16T08:28:41Z
29410316,jpereza,587812,4,13891300,2012-11-16T08:28:41Z
29415367,dvidrie,8076,9,15119755,2013-02-22T08:08:38Z
29415368,Serfuen,777223,12,19808040,2014-01-04T16:47:30Z
29415369,guannais,87759,4,695824,2009-01-01T00:47:24Z
