id,node_id,position
27930749,359058071,9
27930749,1810118095,10
27930749,1824869008,11
27930749,1824869006,12
27930749,1832182379,13
27930749,1832182378,14
27930749,1807539076,15
27930749,306575557,16
27930758,306575711,0
27930758,359058349,1
27930758,1820415332,2
27930758,2904952883,3
27930759,324802662,0
27930759,2291251523,1
27930759,306575767,2
27930759,2290720282,3
27930759,306575846,4
27930759,306575765,5
27930777,315289525,0
27930777,412274017,1
27930777,1781550447,2
27930777,1782877314,3
27930777,412274155,4
27930777,412274178,5
27930777,4938849913,6
27930777,1655333147,7
27930777,4938849915,8
27930777,306575928,9
27930777,3846547300,10
27930777,1407674621,11
27930777,350051113,12
27930777,1841333226,13
27930777,315296306,14
27930777,308021505,15
27930777,308022022,16
27930777,1841333200,17
27930777,315296315,18
27930777,1782877295,19
27930777,412276591,20
27930777,1841333193,21
27930777,1841333189,22
27930777,1841333187,23
27930777,1407674623,24
27930777,1841333184,25
27930777,412276588,26
27930789,306575931,0
27930789,412277988,1
27930789,1795997718,2
27930789,412277895,3
27930789,2071356096,4
27930789,306575932,5
27930802,306575933,0
27930802,412278151,1
27930802,2071356084,2
27930802,306575932,3
27930802,2071356085,4
27930802,412277891,5
27930802,306575946,6
27930804,306575948,0
27930804,306575949,1
27930804,306575950,2
27930804,306575951,3
27930804,306575948,4
27930808,1782795660,0
27930808,3504805256,1
27930808,3428593916,2
27930808,1876397129,3
27930809,306575965,0
27930809,1813926435,1
27930809,1876447363,2
27930809,308752778,3
27930817,306576043,0
27930817,308752764,1
27930817,306576041,2
27930817,1407308462,3
27930817,306576065,4
27930817,306576066,5
27930830,1799288831,0
27930830,1803056424,1
27930830,306576110,2
27930833,306397611,0
27930833,3493846306,1
27930833,2829611756,2
27930833,308024248,3
27930834,306576135,0
27930834,1811671045,1
27930834,1811671074,2
27930834,1781550406,3
27930834,2770341222,4
27930834,1811671162,5
27930834,710533686,6
27930836,323214065,0
27930836,315290155,1
27930836,3451216762,2
27930836,3465168890,3
27930836,306957122,4
27930836,3465168879,5
27930836,3451186316,6
27930836,2324510514,7
27930836,306957123,8
27930836,2324510513,9
27930836,306576163,10
27930836,3465168870,11
27930836,2291269195,12
27930836,308751546,13
27930836,2291269188,14
27930836,3126895788,15
27930836,306576164,16
27930836,2290345909,17
27930836,2291269201,18
27930836,308751626,19
27930836,2324510510,20
27930836,315289952,21
27930839,338309641,0
27930839,323136206,1
27930839,4992749969,2
27930839,2770396548,3
27930839,306576169,4
27930839,4936779111,5
27930839,2776927762,6
27930839,315290373,7
27930839,306576168,8
27930847,2291315766,0
27930847,306576195,1
27930847,3451216746,2
27930847,3451216739,3
27930847,315290808,4
27930847,2291269184,5
27930847,306576194,6
27930847,1781550502,7
27930847,306576193,8
27930847,1781550495,9
27930847,2291269192,10
27930847,306576192,11
27949725,306955670,0
27949725,2369581453,1
27949733,306956074,0
27949733,2041202812,1
27949733,2041202806,2
27949733,2041202801,3
27949733,306956075,4
27949733,359050823,5
27949733,2041202821,6
27949733,306956077,7
